Date,DAU,IAP Generated Per DAU,IAP Generated Per Paid User,IAP Generated Per Purchase,IAP revenue ($),New Users,New Users Percentage,No. of purchases,Old Users Percentage,Purchase Made Per DAU,Purchase Made Per Paid User,Spenders,Spenders Percentage
2/1/2023,80.6K,1.967249598,30.014863636,29.744459459,158.5K,4.3K,5,5.3K,95,0.066138354,1.009090909,5.3K,7
2/2/2023,77.4K,1.141145372,23.484451531,23.650366089,88.4K,4.1K,5,3.7K,95,0.048250643,0.992984694,3.8K,5
2/3/2023,79.0K,1.480235962,29.505260291,27.004260388,117.0K,4.3K,6,4.3K,95,0.054814905,1.092615012,4.0K,5
2/4/2023,89.3K,2.989126216,50.028533513,44.503173269,266.9K,6.0K,7,6.0K,93,0.067166586,1.124156545,5.3K,6
2/5/2023,91.5K,1.117337601,24.115764439,21.326209314,102.2K,6.1K,7,4.8K,93,0.052392696,1.130804077,4.2K,5
2/6/2023,75.0K,0.866472577,20.897633745,19.826744754,65.0K,3.6K,5,3.3K,95,0.043702211,1.054012346,3.1K,4
2/7/2023,73.0K,0.889933077,19.498440125,18.436578171,65.0K,3.8K,5,3.5K,95,0.048269970,1.057595392,3.3K,5
2/8/2023,71.2K,0.912634227,21.580345286,19.740038873,65.0K,3.4K,5,3.3K,95,0.046232646,1.093227092,3.0K,4
2/9/2023,71.4K,0.909997088,19.958241218,18.537531371,65.0K,3.5K,5,3.5K,95,0.049089443,1.076639646,3.3K,5
2/10/2023,71.2K,0.913126545,18.639596238,18.742791234,65.0K,3.2K,5,3.5K,96,0.048718813,0.994494150,3.5K,5
2/11/2023,82.2K,0.790915905,16.801075269,14.600179695,65.0K,5.2K,6,4.5K,94,0.054171656,1.150744417,3.9K,5
2/12/2023,85.8K,0.757660531,18.043526538,15.004616805,65.0K,6.0K,7,4.3K,93,0.050495160,1.202531646,3.6K,4
2/13/2023,68.1K,0.954276922,24.355515588,23.347701149,65.0K,3.5K,5,2.8K,95,0.040872415,1.043165468,2.7K,4
2/14/2023,68.3K,1.211885494,25.538401184,24.161330532,82.8K,3.2K,5,3.4K,95,0.050158061,1.056994819,3.2K,5
2/15/2023,66.7K,1.175259539,26.118968,24.941718869,78.4K,2.8K,4,3.1K,96,0.047120230,1.0472,3.0K,4
2/16/2023,68.6K,1.138669372,28.429938865,26.230684932,78.1K,2.9K,4,3.0K,96,0.043409822,1.083842795,2.7K,4
2/17/2023,61.8K,3.436335522,49.578385650,40.815800646,212.3K,2.9K,5,5.2K,95,0.084191305,1.214686099,4.3K,7
2/18/2023,71.5K,3.613485204,45.714575552,39.524234862,258.5K,4.4K,6,6.5K,94,0.091424545,1.156621392,5.7K,8
2/19/2023,74.5K,3.214524231,46.280505331,38.813005443,239.6K,4.6K,6,6.2K,94,0.082820802,1.192396847,5.2K,7
2/20/2023,74.0K,2.185209866,36.384392876,30.287637017,161.8K,4.5K,6,5.3K,94,0.072148576,1.201295197,4.4K,6
2/21/2023,67.8K,1.549539595,27.761928934,26.152301255,105.0K,3.7K,6,4.0K,95,0.059250602,1.061548223,3.8K,6
2/22/2023,68.0K,0.876679847,20.204296176,19.644841772,59.6K,3.5K,5,3.0K,95,0.044626465,1.028478438,2.9K,4
2/23/2023,67.3K,1.438841148,27.906154910,24.771209331,96.8K,3.3K,5,3.9K,95,0.058085220,1.126556017,3.5K,5
2/24/2023,66.7K,2.574353910,37.310683003,31.414350307,171.7K,3.2K,5,5.5K,95,0.081948342,1.187695516,4.6K,7
2/25/2023,75.0K,2.409349175,37.019916462,31.169023583,180.8K,4.1K,6,5.8K,95,0.077299476,1.187714988,4.9K,7
2/26/2023,77.2K,2.245356910,35.791011403,29.756995054,173.3K,4.9K,6,5.8K,94,0.075456440,1.202776401,4.8K,6
2/27/2023,65.3K,1.537862079,28.518064076,25.263285024,100.4K,3.1K,5,4.0K,95,0.060873401,1.128834356,3.5K,5
2/28/2023,64.6K,0.881611332,14.904274041,19.826672241,56.9K,3.0K,5,2.9K,95,0.044465926,0.751728473,3.8K,6
3/1/2023,63.1K,0.901391013,10.942845266,18.210038432,56.9K,2.7K,4,3.1K,96,0.049499677,0.600923788,5.2K,8
3/2/2023,62.9K,1.163743034,19.939659908,22.140697168,73.2K,2.9K,5,3.3K,95,0.052561264,0.900588620,3.7K,6
3/3/2023,64.4K,1.142045099,20.858454731,20.211787599,73.5K,2.9K,5,3.6K,96,0.056503914,1.031994554,3.5K,5
3/4/2023,73.0K,1.587368992,30.598877616,28.671675579,115.8K,4.4K,6,4.0K,94,0.055363663,1.067216233,3.8K,5
3/5/2023,73.9K,1.240312744,25.892684746,25.060177165,91.7K,4.4K,6,3.7K,94,0.049493375,1.033220339,3.5K,5
3/6/2023,62.7K,1.223102828,25.942288961,24.642174248,76.7K,2.9K,5,3.1K,95,0.049634534,1.052759740,3.0K,5
3/7/2023,62.1K,1.163868737,24.278058018,22.235476015,72.3K,2.7K,4,3.3K,96,0.052342875,1.091861402,3.0K,5
3/8/2023,61.6K,1.170328291,26.516413428,24.889369818,72.0K,2.6K,4,2.9K,96,0.047021210,1.065371025,2.7K,4
3/9/2023,59.0K,1.306012614,15.226900085,14.874066179,77.0K,2.6K,4,5.2K,96,0.087804680,1.023721416,5.1K,9
3/10/2023,54.6K,1.351715667,14.017997448,14.391863185,73.8K,2.9K,5,5.1K,95,0.093922215,0.974022423,5.3K,10
3/11/2023,65.9K,1.645443020,17.960757178,17.077864327,108.4K,4.0K,6,6.3K,94,0.096349461,1.051698083,6.0K,9
3/12/2023,70.2K,1.658198796,18.860527544,17.651871541,116.3K,4.4K,6,6.6K,94,0.093938979,1.068471833,6.2K,9
3/13/2023,63.0K,1.338069701,17.410556051,16.425575089,84.3K,3.3K,5,5.1K,95,0.081462579,1.059966300,4.8K,8
3/14/2023,63.5K,1.014570100,12.654852858,12.256029049,64.4K,3.3K,5,5.3K,95,0.082781307,1.032541030,5.1K,8
3/15/2023,62.9K,1.356385878,16.493692565,16.493692565,85.3K,3.3K,5,5.2K,95,0.082236641,1,5.2K,8
3/16/2023,62.3K,2.525859931,23.514035842,21.875345115,157.4K,3.1K,5,7.2K,95,0.115466061,1.074910394,6.7K,11
